Periodo,Desembolso,Tasa,Elasticidad,Elasticidad Log
201801,382920333639,0.171620841,-1.450461544,0.091884465
201802,534739882166,0.166913453,-14.45470622,0.793470812
201803,493414925334,0.164614604,5.61113591,-0.384473906
201804,509164463753,0.162592106,-2.597980713,0.170308441
201805,699936137731,0.160570239,-30.13024427,1.713717192
201806,584381852771,0.160766898,-134.7967863,9.885614996
201807,606189128724,0.160209477,-10.76262307,0.711610768
201808,773555457618,0.163643004,12.88272277,-0.776067798
201809,811907359898,0.160509117,-2.588865502,0.165470265
201810,997692900984,0.162184287,21.92532851,-1.324004973
201811,931657162894,0.165896085,-2.892055752,0.199247303
201812,1032110894623,0.165158421,-24.24864225,1.497662355
201901,1029729022712,0.178744937,-0.028053344,0.001902611
201902,1120091243778,0.170923922,-2.005554963,0.117027113
201903,1132240930539,0.167564612,-0.551905181,0.034606951
201904,1224932554721,0.172615542,2.715892972,-0.170533381
201905,1414917887166,0.169427426,-8.397571516,0.488142727
201906,1262288142749,0.164929264,4.063091585,-0.269177328
201907,1567377745446,0.167736817,14.19837661,-0.829513712
201908,1492439794359,0.164823062,2.752348762,-0.177754542
201909,1436112463519,0.165026306,-30.60707123,2.007885657
201910,1495220636674,0.171033101,1.130757492,-0.072608912
201911,1345094015005,0.167647201,5.071757262,-0.333341219
201912,1296656126444,0.165630808,2.994012497,-0.193817044
202001,1327753912526,0.17390662,0.47999328,-0.031335472
202002,1540175310268,0.164930097,-3.099478605,0.17547902
202003,1263407297658,0.164739652,155.6241211,-11.01052184
202004,107930699561,0.175752561,-13.68087495,2.460398708
202005,107820012639,0.155380207,0.008847321,-0.000569981
202006,208849992284,0.153527307,-78.57685556,4.039220354
202007,305609601773,0.156964416,20.69436016,-1.236141818
202008,504097620205,0.161740053,21.34701871,-1.169206212
